Category,State/ Union Teritorries,Total Expenditure (Rs. Crore) - 2007-08 - Actual,Total Expenditure (Rs. Crore) - 2008-09 - Actual,Total Expenditure (Rs. Crore) - 2009-10 - Actual,Total Expenditure (Rs. Crore) - 2010-11 - Actual,Total Expenditure (Rs. Crore) - 2011-12 - Actual,Total Expenditure (Rs. Crore) - 2012-13 - Pre-Actual,Total Expenditure (Rs. Crore) - 2013-14 - BE,Population (In Crore) - 2007-08,Population (In Crore) - 2008-09,Population (In Crore) - 2009-10,Population (In Crore) - 2010-11,Population (In Crore) - 2011-12,Population (In Crore) - 2012-13,Population (In Crore) - 2013-14,Per Capita Total Expenditure (In Rupees) - 2007-08 - Actual,Per Capita Total Expenditure (In Rupees) - 2008-09 - Actual,Per Capita Total Expenditure (In Rupees) - 2009-10 - Actual,Per Capita Total Expenditure (In Rupees) - 2010-11 - Actual,Per Capita Total Expenditure (In Rupees) - 2011-12 - Actual,Per Capita Total Expenditure (In Rupees) - 2012-13 - Pre-Actual,Per Capita Total Expenditure (In Rupees) - 2013-14 - BE
Special Category States (SCS),Arunachal Pradesh,3185.28,4341.41,4931.35,5399.74,6458.23,5998.18,8016.17,0.13,0.13,0.13,0.14,0.14,0.14,0.15,24911.13,33173.03,36818.01,39394.36,46042.41,41783.58,54563.38
Special Category States (SCS),Assam,14575.2,16722.82,20565.72,29259.66,29792.86,33637.61,40936.72,2.93,2.97,3,3.04,3.08,3.12,3.15,4977.48,5638.14,6846.88,9620.82,9675.78,10792.65,12979.44
Special Category States (SCS),Himachal Pradesh,9719.19,11606.81,13164.12,15961.6,16200.78,18597.63,20408.99,0.66,0.66,0.67,0.68,0.69,0.7,0.7,14799.8,17490.88,19642.24,23587.62,23475.96,26677.12,28983
Special Category States (SCS),Jammu and Kashmir,15906.32,17011.68,21606.78,24601.98,28644.92,30434.65,36500,1.12,1.13,1.15,1.17,1.18,1.2,1.21,14212.13,14988.54,18778.56,21101.17,24262.91,25464.24,30175.4
Special Category States (SCS),Manipur,3408.4,4090.16,4609.07,5999.86,6702.4,6821.4,9224.1,0.26,0.27,0.27,0.28,0.28,0.29,0.29,13012.1,15319.86,16940.15,21643.63,23738.39,23720.44,31492.1
Special Category States (SCS),Meghalaya,2672.06,3263.99,3690.32,4629.12,5742.43,5954.88,9135.9,0.25,0.25,0.26,0.26,0.26,0.27,0.27,10611.67,12809.45,14314.67,17743.16,21759.28,22311.31,33836.76
Special Category States (SCS),Mizoram,2339.26,2752.83,3333.08,3975.9,4367.14,5146.71,5753.55,0.1,0.11,0.11,0.11,0.12,0.12,0.12,22280.23,25568.05,30182.85,35099.79,37594.27,43192.89,47073.5
Special Category States (SCS),Nagaland,3483.16,3846.57,4520.13,5577.66,6477.62,8057.2,8071.45,0.19,0.19,0.19,0.2,0.2,0.21,0.21,18626.9,20234.13,23395.73,28573.08,32195.75,38812.4,37682.62
Special Category States (SCS),Sikkim,1562.34,1992.58,2514.53,2468.73,3094.54,3354.84,4572.7,0.06,0.06,0.06,0.06,0.06,0.06,0.06,26621.75,33482.77,41770.41,40539.98,50151.91,53846.89,72687.38
Special Category States (SCS),Tripura,3717.62,4349.92,5563.57,5418.75,6220.38,6715,9038.66,0.35,0.35,0.36,0.36,0.36,0.37,0.37,10701.36,12375.31,15641.56,15056.66,17083.91,18232.1,24261.35
Special Category States (SCS),Uttarakhand,10486.56,11564.65,14196.96,14715.85,17463.52,19262.25,25329.84,0.95,0.96,0.97,0.99,1,1.02,1.03,11095.65,12050.25,14572.96,14887.07,17416.45,18945.8,24577.82
Special Category States (SCS),Sub Total - SCS,71055.39,81543.42,98695.63,118008.85,131164.82,143980.35,176988.08,6.99,7.09,7.18,7.28,7.38,7.48,7.58,10166.84,11508.11,13742.07,16217.07,17767.68,19245.79,23349.26
General Category States (GCS),Andhra Pradesh,69678.21,75634.05,78830.81,92972.36,109120.55,121764.09,152722,8.2,8.29,8.36,8.44,8.52,8.59,8.67,8492.26,9128.15,9424.01,11012.29,12809.39,14169.33,17622.51
General Category States (GCS),Bihar,29939.34,35498.98,40813.04,48514.49,57257.57,66136.62,88849.2,9.31,9.45,9.58,9.72,9.85,9.98,10.1,3216.82,3757.65,4258.11,4991.7,5812.67,6627.74,8793.83
General Category States (GCS),Chhattisgarh,13970.54,17226.07,20910.44,22876.15,27957.99,33779.16,44169,2.36,2.41,2.45,2.5,2.55,2.6,2.65,5919.71,7147.72,8534.86,9150.43,10963.92,12992,16667.59
General Category States (GCS),Goa,2826.47,3647.92,4556.07,6230,6953.57,8988.74,9886.49,0.16,0.16,0.17,0.17,0.18,0.18,0.19,18026.47,22393.41,26942.65,35620.86,38652.02,48667.49,52138.44
General Category States (GCS),Gujarat,39734.59,48031.34,55750.46,66568.31,74161.5,92143.14,104077.51,5.63,5.71,5.79,5.87,5.95,6.03,6.1,7057.9,8410.47,9627.09,11340.04,12467.26,15291.18,17049.83
General Category States (GCS),Haryana,21240,25369,31305,33063,38014,44185,53073,2.4,2.44,2.48,2.53,2.57,2.61,2.65,8851.1,10386.51,12598.09,13083.91,14799.52,16929.76,20019.98
General Category States (GCS),Jharkhand,14013.18,16346.36,18151.26,20916.6,24443.45,28319.1,37739.88,3,3.04,3.09,3.13,3.17,3.22,3.26,4669.74,5370.45,5880.74,6684.14,7704.23,8805.98,11581.01
General Category States (GCS),Karnataka,46780,52261,60655,69127,82436,92874,115770,5.73,5.79,5.86,5.92,5.98,6.04,6.1,8165.2,9021.88,10359.18,11682.79,13789.9,15381.08,18986.45
General Category States (GCS),Kerala,27259.37,30903.15,34068.44,38790.24,50896.07,58976.21,61175,3.37,3.4,3.42,3.45,3.47,3.49,3.52,8090.3,9100.38,9956.84,11254.27,14664.11,16878.26,17390.19
General Category States (GCS),Madhya Pradesh,33590.75,38089.22,47641.44,57528.05,77613.12,79920.69,91948.86,6.83,6.94,7.06,7.17,7.29,7.4,7.52,4920.56,5486.15,6749.79,8019.86,10649.57,10797.18,12234.88
General Category States (GCS),Maharashtra,77494.82,95847.68,113605.54,125381.42,142270.02,160512.14,179925.79,10.73,10.89,11.05,11.2,11.36,11.51,11.66,7220.84,8800.79,10282.44,11190.57,12527.19,13947.51,15428.74
General Category States (GCS),Odisha,20999.36,24838.42,29042.63,33967.74,39777.34,44075.76,57484.4,4.01,4.06,4.11,4.17,4.22,4.28,4.34,5241.86,6119.35,7061.68,8151.23,9420.32,10301.43,13258.69
General Category States (GCS),Punjab,25287.31,27481.99,29603.19,35349.67,34820.05,41571.28,52063.75,2.75,2.8,2.85,2.9,2.96,2.98,3.03,9201.42,9818.48,10384.56,12175.23,11775.12,13951.88,17156.22
General Category States (GCS),Rajasthan,35970.89,40535.61,45804.74,50386.08,61881.66,76557.2,90439.65,6.41,6.52,6.63,6.74,6.85,6.95,7.06,5613.69,6217.11,6907.66,7475.56,9038.03,11012.41,12817.6
General Category States (GCS),Tamil Nadu,52218.8,65524.5,70238.49,87604.49,105656.84,120574.03,131412.04,6.59,6.64,6.68,6.73,6.77,6.81,6.85,7921.67,9870.23,10509.07,13022.24,15607.07,17703.61,19184.02
General Category States (GCS),Uttar Pradesh,82915.55,99121.62,115406.69,128916.63,146434.7,178456.56,221201.19,18.88,19.23,19.58,19.93,20.28,20.63,20.98,4391.43,5153.87,5892.88,6466.95,7219.58,8649.84,10543.33
General Category States (GCS),West Bengal,42064.28,56078.26,62263.38,67171.65,76538.08,87722.21,101978.82,8.67,8.75,8.83,8.92,9,9.08,9.16,4853.99,6408.56,7048.57,7533.93,8505.44,9660.83,11133.74
General Category States (GCS),Sub Total - GCS,635983.46,752435.17,858646.62,985363.88,1156232.51,1336555.93,1593916.58,105.02,106.52,108.01,109.49,110.96,112.38,113.83,6055.97,7063.48,7949.67,8999.36,10420.22,11892.8,14002.38
Union Teritorries With legislatures,Delhi,18159.63,20361.31,24925.92,25524.32,26402.42,29858.81,37450,1.57,1.6,1.63,1.66,1.69,1.73,1.76,11567.37,12724.94,15284.51,15355.71,15584.9,17293.4,21282.04
Union Teritorries With legislatures,Puducherry,2476,2834,3454,3913,3599,3356.34,3995.07,0.11,0.11,0.11,0.12,0.13,0.13,0.13,22462.61,25230.49,30180.82,33556.32,28483.06,25912.29,30090.14
Union Teritorries With legislatures,Sub Total - Union Teritorries,20635.63,23195.31,28379.92,29437.32,30001.42,33215.15,41445.07,1.68,1.71,1.75,1.78,1.82,1.86,1.89,12282.17,13545.22,16261.33,16548.85,16480.14,17894.86,21899.99
Grand Total,Grand Total - All States and Union Teritorries,727674.48,857173.9,985722.17,1132810.05,1317398.75,1513751.43,1812349.73,113.69,115.32,116.94,118.55,120.16,121.72,123.3,6400.71,7432.82,8429.47,9555.68,10963.41,12436.25,14698.18
